State,Year,Climate_Change_Disasters,Min_Temp,Max_Temp,Average_Temp,PM2.5,Health_Quotient,HDI,Rural_Poppulation,Min_Rural_CVD,Max_Rural_CVD,Urban_Poppulation,Min_Urban_CVD,Max_Urban_CVD
Goa,2020,1,24.17,29.33,26.75,30.6,53.68,0.766,575725.313,9211.605,39225.111,946149.688,9461.497,124891.759
Goa,2021,1,25.08,29.42,27.25,29.7,41,0.768,578185.397,9250.966,39392.72,950192.603,9501.926,125425.424
Goa,2022,0,25.15,28.96,27.06,28,28.32,0.771,590148,9442.368,40207.752,969852,9698.52,128020.464
Gujarat,2015,4,23.08,35.83,29.46,44.3,63.28,0.649,37263751,596220.018,2757517.581,27655675.9,276556.759,3650549.219
Gujarat,2016,2,22.67,36,29.33,41.3,62.99,0.656,37902576,606441.213,2804790.608,28129786.21,281297.862,3713131.78
Gujarat,2017,1,23.75,36.08,29.92,45.8,61.99,0.667,38539356,616629.703,2851912.378,28602379.54,286023.795,3775514.099
Gujarat,2018,0,23.92,35.42,29.67,46.7,63.52,0.669,39173886,626782.175,2898867.557,29073302.09,290733.021,3837675.876
Gujarat,2019,1,23,32.92,27.96,46.9,64.8,0.672,39805963,636895.403,2945641.237,29542404.34,295424.043,3899597.373
Gujarat,2020,3,48.83,34.58,41.71,45.5,62.46,0.678,40435393,646966.283,2992219.059,30009542.31,300095.423,3961259.585
Gujarat,2021,3,22.58,36,29.29,45.7,61.91,0.684,41061988,656991.804,3038587.092,30474576.26,304745.763,4022644.067
Gujarat,2022,2,22.5,36.03,29.26,57,61.36,0.689,41190240,659043.84,3048077.76,30569760,305697.6,4035208.32
Haryana,2015,1,22.67,33.25,27.96,84.2,49.87,0.684,17542863.04,280685.809,1298171.865,9396422.957,93964.23,1240327.83
Haryana,2016,1,23.08,33,28.04,88.7,46.97,0.691,17798039.02,284768.624,1317054.887,9533101.981,95331.02,1258369.461
Haryana,2017,1,22.75,33.42,28.08,85.7,53.51,0.702,18051748.49,288827.976,1335829.388,9668995.507,96689.955,1276307.407
Haryana,2018,0,24,34,29,89.1,46.19,0.705,18303928.95,292862.863,1354490.742,9804070.051,98040.701,1294137.247
Haryana,2019,0,21.58,31.67,26.63,87.3,46.4,0.708,18554517.87,296872.286,1373034.323,9938292.128,99382.921,1311854.561
Haryana,2020,1,23.5,32.67,28.08,83.4,49.26,0.714,18803456.65,300855.307,1391455.792,10071630.35,100716.304,1329455.206
Haryana,2021,1,21.75,33.75,27.75,86.5,48.71,0.72,19050689.94,304811.039,1409751.056,10204055.06,102040.551,1346935.267
Haryana,2022,1,21.6,36.6,29.1,83,48.16,0.726,19822528,317160.448,1466867.072,10617472,106174.72,1401506.304
Himachal pradesh,2015,0,10,23.25,16.63,27.3,62.12,0.702,6438037.272,103008.596,476414.758,717722.728,7177.227,94739.4
Himachal pradesh,2016,1,9.92,23.5,16.71,32.1,61.2,0.708,6501917.771,104030.684,481141.915,724844.229,7248.442,95679.438
Himachal pradesh,2017,1,10.25,24.33,17.29,27.9,68.46,0.719,6565141.49,105042.264,485820.47,731892.51,7318.925,96609.811
Himachal pradesh,2018,0,11.17,24,17.58,29.3,65.45,0.721,6627703.929,106043.263,490450.091,738867.071,7388.671,97530.453
Himachal pradesh,2019,1,10.92,23.08,17,25.1,63.23,0.725,6689598.79,107033.581,495030.311,745767.21,7457.672,98441.272
Himachal pradesh,2020,1,12,24.5,18.25,26.1,63.17,0.731,6750822.476,108013.16,499560.863,752592.525,7525.925,99342.213
Himachal pradesh,2021,1,11.33,24,17.67,27.6,63.11,0.737,6811370.486,108981.928,504041.416,759342.514,7593.425,100233.212
Himachal pradesh,2022,0,11.56,24.13,17.84,34,63.05,0.742,6918693,110699.088,511983.282,771307,7713.07,101812.524
Jharkhand,2015,2,21.42,30.33,25.88,56.3,38.46,0.58,27435401.03,438966.417,2030219.676,8687575.969,86875.76,1180137.659
Jharkhand,2016,1,21.25,30.75,26,58.8,45.33,0.582,28034007.79,448544.125,2074516.577,8877128.208,88771.282,1205886.813
Jharkhand,2017,0,21.42,31.08,26.25,54.6,51.33,0.592,28633442.41,458135.079,2118874.738,9066942.593,90669.426,1231671.578
Jharkhand,2018,0,21.92,30.92,26.42,54.1,40.19,0.595,29233448.93,467735.183,2163275.221,9256938.074,92569.381,1257480.943
Jharkhand,2019,0,22.83,31.58,27.21,58.7,44.16,0.598,29833776.71,477340.427,2207699.477,9447035.286,94470.353,1283304.128
Jharkhand,2020,1,21.92,29.83,25.88,60.6,47.55,0.603,30434179.69,486946.875,2252129.297,9637156.308,96371.563,1309130.547
Jharkhand,2021,1,21.25,29.25,25.25,57.5,50.94,0.607,31034416.34,496550.661,2296546.809,9827224.661,98272.247,1334949.811
Jharkhand,2022,2,21.22,29.07,25.15,27,54.33,0.612,31154690,498475.04,2305447.06,9865310,98653.1,1340123.4
Karnataka,2015,1,19.75,28.83,24.29,27.1,58.7,0.657,39816567.54,637065.081,2944984.733,25105277.46,251052.775,3313896.625
Karnataka,2016,1,19.67,29.83,24.75,26.6,61.14,0.667,40395733.1,646331.73,2987822.02,25470454.9,254704.549,3362100.047
Karnataka,2017,0,20.25,29.5,24.88,29.7,60.37,0.677,40971571.51,655545.144,3030413.218,25833534.49,258335.345,3410026.553
Karnataka,2018,0,21.5,29.42,25.46,29.3,58.05,0.68,41543938.03,664703.008,3072747.622,26194424.97,261944.25,3457664.096
Karnataka,2019,2,21.5,29.75,25.63,25.9,59.3,0.683,42112692.82,673803.085,3114814.89,26553038.18,265530.382,3505001.039
Karnataka,2020,1,20.75,28.83,24.79,28.3,57.93,0.69,42677702.81,682843.245,3156605.176,26909290.19,269092.902,3552026.305
Karnataka,2021,2,19.92,27.33,23.63,27.7,56.56,0.696,43238842.26,691821.476,3198109.184,27263101.75,272631.017,3598729.43
Karnataka,2022,1,21.8,34.42,28.11,18,55.19,0.703,43476837,695629.392,3215712.18,27413163,274131.63,3618537.516
Kerala,2015,0,25.5,31.17,28.33,16.4,80,0.757,17778944.63,284463.114,1315641.903,16215213.37,162152.134,2140408.164
Kerala,2016,2,25,31.25,28.13,18.5,76.55,0.763,17852833.03,285645.328,1321109.644,16282602.97,162826.03,2149303.592
Kerala,2017,1,25.08,32.67,28.88,17.9,74.01,0.775,17925544.67,286808.715,1326490.306,16348919.33,163489.193,2158057.351
Kerala,2018,1,25.67,32.17,28.92,19.9,76.38,0.778,17997092.64,287953.482,1331784.855,16414174.36,164141.744,2166671.015
Kerala,2019,1,25.5,33.42,29.46,15.7,79.44,0.782,18067488.96,289079.823,1336994.183,16478379.04,164783.79,2175146.033
Kerala,2020,3,24.92,31,27.96,17.1,81.6,0.788,18136747.76,290187.964,1342119.334,16541546.24,165415.462,2183484.103
Kerala,2021,2,24,30,27,17.5,82.2,0.795,18204881.06,291278.097,1347161.199,16603686.94,166036.869,2191686.676
Kerala,2022,2,21.8,34.42,28.11,29,82.8,0.801,18289310,292628.96,1353408.94,16680690,166806.9,2201851.08
Madhya Pradesh,2015,4,22.67,32.67,27.67,50.1,38.99,0.581,56579484.04,905271.745,4186881.819,21601369.96,216013.7,2851380.835
Madhya Pradesh,2016,1,22.25,32.5,27.38,49.6,39.6,0.588,57579424.67,921270.795,4260877.426,21983135.33,219831.353,2901773.863
Madhya Pradesh,2017,1,22.67,33.5,28.08,51.5,40.09,0.598,58576686.17,937226.979,4334674.776,22363877.83,223638.778,2952031.874
Madhya Pradesh,2018,0,23.58,32.42,28,51.2,38.39,0.6,59570928.39,953134.854,4408248.701,22743467.62,227434.676,3002137.725
Madhya Pradesh,2019,0,22.67,30.58,26.63,54.8,33.37,0.603,60561824.22,968989.187,4481574.992,23121779.79,231217.798,3052074.932
Madhya Pradesh,2020,1,23.5,31.92,27.71,53.2,36.72,0.609,61549055.23,984784.884,4554630.087,23498692.77,234986.928,3101827.446
Madhya Pradesh,2021,3,22.5,32,27.25,51.4,40.07,0.614,62532312.4,1000516.998,4627391.118,23874088.6,238740.886,3151379.695
Madhya Pradesh,2022,0,22.47,31.89,27.18,35,43.42,0.62,63468490,1015495.84,4696668.26,24231510,242315.1,3198559.32
Maharashtra,2015,2,26.25,32.25,29.25,39.3,60.09,0.678,64662527.83,1034600.445,4785027.06,53377866.17,533778.662,7045878.334
Maharashtra,2016,1,25.75,31.17,28.46,38.9,61.07,0.68,65423047.34,1046768.757,4841305.503,54005662.66,540056.627,7128747.471
Maharashtra,2017,3,26.83,32.08,29.46,41.6,63.99,0.691,66177121.98,1058833.952,4897107.026,54628139.02,546281.39,7210914.351
Maharashtra,2018,1,27.58,31.83,29.71,41.3,68.61,0.694,66924632.87,1070794.126,4952422.833,55245197.13,552451.971,7292366.021
Maharashtra,2019,4,26.67,31.08,28.88,40.8,64.53,0.697,67665468.83,1082647.501,5007244.693,55856745.17,558567.452,7373090.363
Maharashtra,2020,3,24.83,29.58,27.21,42,65.54,0.702,68399524.12,1094392.386,5061564.785,56462695.88,564626.959,7453075.857
Maharashtra,2021,4,25.33,30.33,27.83,46.4,69.14,0.707,69126702.87,1106027.246,5115376.012,57062970.13,570629.701,7532312.057
Maharashtra,2022,2,25.18,30.01,27.6,51,72.74,0.711,71307126,1140914.016,5276727.324,58862874,588628.74,7769899.368
Manipur,2015,1,13.75,27.42,20.58,30.3,57.78,0.692,2204283.089,35268.529,163047.821,909550.911,9095.509,120307.336
Manipur,2016,4,14.67,28,21.33,28.4,60.59,0.68,2250087.05,36001.393,166435.878,928450.95,9284.509,122807.266
Manipur,2017,1,15.42,28.42,21.92,28,51.67,0.691,2295908.709,36734.539,169825.244,947358.291,9473.583,125308.161
Manipur,2018,0,16.75,27.67,22.21,32.8,45.64,0.694,2341727.537,37467.641,173214.4,966264.463,9662.645,127808.902
Manipur,2019,0,16.92,27.42,22.17,29.2,39.99,0.697,2387526.543,38200.425,176602.091,985162.457,9851.625,130308.561
Manipur,2020,1,16.92,27.5,22.21,29.2,34.26,0.698,2433287.323,38932.597,179986.953,1004044.677,10040.447,132806.134
Manipur,2021,1,15.83,27.83,21.83,29.2,28.53,0.7,2478992.886,39663.886,183367.732,1022904.114,10229.041,135300.693
Manipur,2022,1,10.47,33.75,22.11,37,22.8,0.701,2534282,40548.512,187457.392,1045718,10457.18,138318.312
Meghalaya,2015,1,13,21,17,33.6,51.4,0.646,2652732.826,42443.725,196375.907,666087.174,6660.872,87923.507
Meghalaya,2016,3,13.92,22,17.96,33.9,56.83,0.64,2724393.268,43590.292,201680.77,684080.732,6840.807,90298.657
Meghalaya,2017,0,14.75,22,18.38,34.2,55.95,0.65,2796517.304,44744.277,207019.952,702190.696,7021.907,92689.172
Meghalaya,2018,0,15.5,21.67,18.58,40.5,53.2,0.652,2869069.765,45905.116,212390.849,720408.235,7204.082,95093.887
Meghalaya,2019,0,17,22.42,19.71,36.9,45.31,0.656,2942016.281,47072.261,217790.917,738724.719,7387.247,97511.663
Meghalaya,2020,1,12.92,21.75,17.33,36.9,25.35,0.659,3015320.884,48245.134,223217.494,757131.116,7571.311,99941.307
Meghalaya,2021,1,14,23.08,18.54,35.6,43.05,0.661,3088950.002,49423.2,228668.094,775618.998,7756.19,102381.708
Meghalaya,2022,2,10.47,33.75,22.11,43,60.75,0.664,3173221,50771.536,234906.488,796779,7967.79,105174.828
Mizoram,2015,0,14.75,22.33,18.54,38.3,71.27,0.695,570482.442,9127.719,42215.701,620752.559,6207.526,81939.338
Mizoram,2016,1,15.58,23.83,19.71,39.1,73.7,0.688,581744.254,9307.908,43049.075,633006.746,6330.067,83556.89
Mizoram,2017,0,17,23.42,20.21,34.3,70.63,0.699,592998.404,9487.974,43881.882,645252.596,6452.526,85173.343
Mizoram,2018,0,16.5,23.42,19.96,41.2,64.01,0.701,604241.539,9667.865,44713.874,657486.461,6574.865,86788.213
Mizoram,2019,0,17.58,23.08,20.33,36.7,57.32,0.704,615467.913,9847.487,45544.626,669702.087,6697.021,88400.675
Mizoram,2020,1,13.83,23.33,18.58,39.5,75.77,0.706,626674.652,10026.794,46373.924,681896.348,6818.963,90010.318
Mizoram,2021,1,15.25,24.17,19.71,38.7,94.22,0.709,637856.967,10205.711,47201.416,694064.033,6940.64,91616.452
Mizoram,2022,0,15.33,24.47,19.9,11,112.67,0.711,646515,10344.24,47842.11,703485,7034.85,92860.02
Nagaland,2015,0,13.33,23.5,18.42,26.5,45.26,0.677,1438530.477,23016.488,106451.255,583581.523,5835.815,77032.761
Nagaland,2016,1,12.92,24.75,18.83,24.6,37.38,0.663,1446003.022,23136.048,107004.224,586612.978,5866.13,77432.913
Nagaland,2017,1,13.42,24.92,19.17,25.1,37.59,0.673,1453364.59,23253.833,107548.98,589599.41,5895.994,77827.122
Nagaland,2018,0,13.92,24.58,19.25,27.5,38.51,0.676,1460615.89,23369.854,108085.576,592541.11,5925.411,78215.427
Nagaland,2019,0,14.5,25.17,19.83,26.4,23.53,0.679,1467757.634,23484.122,108614.065,595438.366,5954.384,78597.864
Nagaland,2020,1,15.17,24,19.58,25.8,27,0.68,1474790.535,23596.649,109134.5,598291.465,5982.915,78974.473
Nagaland,2021,1,14,24.83,19.42,26.1,30.43,0.684,1481716.014,23707.456,109646.985,601100.986,6011.01,79345.33
Nagaland,2022,0,10.47,33.75,22.11,24,33.86,0.686,1489896.402,23838.342,110252.334,604419.598,6044.196,79783.387
Odisha,2015,0,24.92,34.17,29.54,44.3,39.43,0.582,36900338.35,590405.414,2730625.038,7392469.655,73924.697,975805.995
Odisha,2016,2,24.58,34.08,29.33,43,35.97,0.589,37374976.24,597999.62,2765748.242,7487556.758,74875.568,988357.492
Odisha,2017,0,24,33.58,28.79,42.6,42.51,0.599,37846104.29,605537.669,2800611.717,7581940.711,75819.407,1000816.174
Odisha,2018,0,24.75,34,29.38,43.3,46.18,0.602,38313629.18,613018.067,2835208.559,7675602.821,76756.028,1013179.572
Odisha,2019,0,25.42,34.5,29.96,43.5,44.18,0.605,38777464.27,620439.428,2869532.356,7768525.731,77685.257,1025445.396
Odisha,2020,1,24.08,32.75,28.42,45.2,44.31,0.611,39237525.42,627800.407,2903576.881,7860692.584,78606.926,1037611.421
Odisha,2021,2,24.08,32.33,28.21,43.4,44.44,0.616,39693734.31,635099.749,2937336.339,7952087.692,79520.877,1049675.575
Odisha,2022,1,10.47,33.75,22.11,52,44.57,0.62,39922152,638754,2954239.248,7997848,79978.48,1055715.936
Punjab,2015,1,21.25,34.25,27.75,73.8,62.02,0.701,18116051.53,303765.501,1404915.444,10860358.47,108603.585,1433567.318
Punjab,2016,1,21.67,35.42,28.54,81,65.03,0.707,18304275.49,306921.595,1419512.374,10973196.51,109731.965,1448461.939
Punjab,2017,1,21.58,35.5,28.54,71.5,63.01,0.718,18490651.37,310046.699,1433965.984,11084926.63,110849.266,1463210.316
Punjab,2018,1,22.17,35.58,28.88,76,59.32,0.72,18675159.76,313140.491,1448274.77,11195537.24,111955.372,1477810.915
Punjab,2019,0,21.33,32.75,27.04,68.9,59.81,0.724,18857781.94,316202.655,1462437.277,11305017.07,113050.171,1492262.253
Punjab,2020,1,23.17,34.42,28.79,71,58.08,0.73,19038501.62,319232.918,1476452.245,11413356.38,114133.564,1506563.042
Punjab,2021,1,19.75,34.25,27,72.7,59.83,0.735,19217304.45,322231.04,1490318.558,11520546.56,115205.466,1520712.145
Punjab,2022,1,6.72,36.6,21.66,79,61.58,0.74,19424964,325713.024,1506422.736,11645036,116450.36,1537144.752
Rajasthan,2015,1,23.08,33.33,28.21,65.5,36.79,0.602,55198911.06,883182.577,4084719.418,18272286.94,182722.869,2411941.876
Rajasthan,2016,1,22.25,32.83,27.54,60.9,43.1,0.613,56116528.59,897864.458,4152623.116,18576042.41,185760.424,2452037.598
Rajasthan,2017,2,22.5,34.17,28.33,59.9,48.2,0.623,57030742.74,912491.884,4220274.963,18878671.26,188786.713,2491984.607
Rajasthan,2018,1,23,33.08,28.04,63.1,47.71,0.625,57941268.75,927060.3,4287653.888,19180079.25,191800.793,2531770.461
Rajasthan,2019,0,22.5,31.67,27.08,63,41.57,0.628,58847830.16,941565.283,4354739.432,19480174.84,194801.748,2571383.079
Rajasthan,2020,1,23.67,32.83,28.25,61.2,41.33,0.635,59750160.99,956002.576,4421511.913,19778870.01,197788.7,2610810.841
Rajasthan,2021,1,23,33.42,28.21,62.1,41.09,0.64,60648004.31,970368.069,4487952.319,20076079.69,200760.797,2650042.519
Rajasthan,2022,1,19.34,32.38,25.86,65,40.85,0.644,60990534,975849,4513299.516,20189466,201894.66,2665009.512
Sikkim,2015,0,10.42,15.83,13.13,34.3,53.39,0.69,473213.676,7571.419,35017.812,159002.324,1590.023,20988.307
Sikkim,2016,1,11.67,17,14.33,31.1,53.2,0.7,477147.044,7634.353,35308.881,160323.957,1603.24,21162.762
Sikkim,2017,0,10,17.17,13.58,29.9,50.5,0.711,481034.004,7696.544,35596.516,161629.996,1616.3,21335.159
Sikkim,2018,0,9.42,16.75,13.08,33.1,63.31,0.713,484873.809,7757.981,35880.662,162920.191,1629.202,21505.465
Sikkim,2019,0,9.33,16.75,13.04,28.9,56.21,0.717,488667.207,7818.675,36161.373,164194.793,1641.948,21673.713
Sikkim,2020,1,6.42,14.5,10.46,31.6,55.53,0.724,492413.45,7878.615,36438.595,165453.551,1654.536,21839.869
Sikkim,2021,1,6.75,15.58,11.17,31.4,54.81,0.73,496113.285,7937.813,36712.383,166696.715,1666.967,22003.966
Sikkim,2022,0,6.14,15.54,10.84,48,54.09,0.734,507333.3,8117.333,37542.664,170466.7,1704.667,22501.604
Tamil Nadu,2015,0,27.17,30.58,28.88,23.9,63.28,0.688,39901362.55,638421.801,2952700.829,37426859.45,374268.595,4940345.447
Tamil Nadu,2016,1,27,31.25,29.13,27.7,63.38,0.692,40564675.91,649034.815,3001786.017,38049037.09,380490.371,5022472.896
Tamil Nadu,2017,2,26.83,31.08,28.96,28.4,60.41,0.703,41225529.49,659608.472,3050689.182,38668907.51,386689.075,5104295.791
Tamil Nadu,2018,0,26.92,30.67,28.79,29.6,63.37,0.705,41883716.9,670139.471,3099395.051,39286277.1,392862.771,5185788.577
Tamil Nadu,2019,0,26.83,31.08,28.96,25.7,67.44,0.709,42539038.45,680624.615,3147888.845,39900958.55,399009.586,5266926.528
Tamil Nadu,2020,3,26.5,30.42,28.46,25.5,72.42,0.714,43191302.18,691060.835,3196156.362,40512771.82,405127.718,5347685.88
Tamil Nadu,2021,1,25.75,30.67,28.21,26.7,74.05,0.72,43840321.31,701445.141,3244183.777,41121541.69,411215.417,5428043.503
Tamil Nadu,2022,1,25.51,30.68,28.1,29,75.68,0.724,44014800,704236.8,3257095.2,41285200,412852,5449646.4
Telangana,2015,2,26.5,30.67,28.58,31.9,54.94,0.649,24585521.74,391951.655,1812776.405,12307518.08,123075.181,1624592.387
Telangana,2016,1,26.5,31.33,28.92,32.7,55.39,0.652,24807500.07,395490.517,1829143.643,12418640.49,124186.405,1639260.545
Telangana,2017,0,26.33,31.25,28.79,34.4,59,0.663,25027002.79,398989.913,1845328.345,12528523.61,125285.236,1653765.116
Telangana,2018,0,26.92,30.92,28.92,34.7,54.44,0.665,25244018.71,402449.662,1861329.687,12637161.83,126371.618,1668105.361
Telangana,2019,0,26.67,31.25,28.96,33.2,58.31,0.669,25458538.87,405869.623,1877147.008,12744550.67,127445.507,1682280.689
Telangana,2020,3,26.25,30.42,28.33,34.1,65.74,0.674,25670554.87,409249.662,1892779.688,12850685.93,128506.859,1696290.543
Telangana,2021,1,25.58,30.83,28.21,33.7,69.96,0.68,25880060.83,412589.685,1908227.295,12955564.67,129555.647,1710134.536
Telangana,2022,0,25.43,30.86,28.15,49,74.18,0.684,26259092.16,418632.346,1936174.598,13145307.84,131453.078,1735180.635
Tripura,2015,0,22.25,31.58,26.92,60,45.96,0.641,2882340.181,46117.443,213293.173,1021682.819,10216.828,134862.132
Tripura,2016,1,22.92,32.08,27.5,65.1,46.38,0.642,2924266.761,46788.268,216395.74,1036544.239,10365.442,136823.84
Tripura,2017,1,22.42,31.5,26.96,55.1,48.35,0.652,2965951.918,47455.231,219480.442,1051320.082,10513.201,138774.251
Tripura,2018,0,23.17,32.67,27.92,73.4,43.51,0.655,3007385.314,48118.165,222546.513,1066006.686,10660.067,140712.883
Tripura,2019,0,22.92,32.92,27.92,61.4,69.96,0.658,3048558.09,48776.929,225593.299,1080600.91,10806.009,142639.32
Tripura,2020,1,23.25,32.08,27.67,65.9,70.16,0.662,3089459.171,49431.347,228619.979,1095098.829,10950.988,144553.045
Tripura,2021,1,22.08,32.42,27.25,63.3,70.36,0.667,3130080.437,50081.287,231625.952,1109497.563,11094.976,146453.678
Tripura,2022,2,22.06,32.56,27.31,226,70.56,0.671,3137775,50204.4,232195.35,1112225,11122.25,146813.7
Uttarakhand,2015,1,14.83,27.67,21.25,35,45.32,0.661,7542577.946,120681.247,558150.768,3268054.054,32680.541,431383.135
Uttarakhand,2016,2,14.25,27.58,20.92,37.2,45.22,0.667,7667965.102,122687.442,567429.418,3322381.898,33223.819,438554.411
Uttarakhand,2017,1,14.75,28.5,21.63,33.9,40.2,0.677,7792886.194,124686.179,576673.578,3376507.806,33765.078,445699.03
Uttarakhand,2018,0,15.42,28.08,21.75,35.7,43.86,0.68,7917303.546,126676.857,585880.462,3430415.454,34304.155,452814.84
Uttarakhand,2019,0,15.83,27.25,21.54,31.2,43.62,0.683,8041179.484,128658.872,595047.282,3484088.516,34840.885,459899.684
